Bioma,Intempérie,Posição,População Quilombola,Macrorregião,SE+ECP,Código,Status,UF,Nome,Município,Município código,População Total,Latitude,Longitude,Macrorregião código,Região,Região código,SE,ECP,Agua,Estiagem,Incendio,Frio,Erosao,Outros
Cerrado,Nao,2,20,MACRORREGIAO CENTRO-NORTE,3,52129,Decreto,GO,Tomás Cardoso - GO,Barro Alto,5203203,23,-14.95268667,-49.02004164,5209,SAO PATRICIO II,52018,1,2,0,0,0,0,0,3
Mata Atlântica,Agua,1,1277,LESTE - (NRS - SALVADOR),4,29260,RTID (1),BA,"Guerém Baixão do Guaí, Quizanga, Tabatinga, Guaruçú, Giral - BA",Nazaré,2922508,1322,-12.88999918,-38.96056018,2915,SANTO ANTONIO DE JESUS,29022,1,3,1,0,0,0,0,3
Mata Atlântica,Agua,1,566,SUL,7,32148,Portaria,ES,Monte Alegre - ES,Cachoeiro de Itapemirim,3201209,597,-20.73103865,-41.27036115,3205,SUL,32004,4,3,3,1,0,0,0,3
Mata Atlântica,Agua,1,562,MACRO UNICA,5,28329,RTID (1),SE,Patioba - SE,Japaratuba,2803302,632,-10.61460832,-36.98918499,2801,NOSSA SENHORA DO SOCORRO,28006,1,4,1,0,0,0,0,4
Mata Atlântica,Agua,1,550,MACRORREGIAO I,5,33106,Titulado,RJ,Campinho da Independência - RJ,Paraty,3303807,610,-23.30065243,-44.70175482,3312,BAIA DA ILHA GRANDE,33001,1,4,2,0,0,0,0,3
Mata Atlântica,Agua,1,459,MEIO OESTE,11,42141,Decreto,SC,Invernada dos Negros - SC,Campos Novos,4203600,510,-27.50035558,-51.12866594,4217,MEIO OESTE,42008,8,3,6,3,0,0,0,2
Mata Atlântica,Estiagem,1,451,CENTRAL NORTE,4,32240,RTID (1),ES,São Domingos - ES,Conceição da Barra,3201605,485,-18.55092147,-39.90232393,3209,NORTE,32003,1,3,0,1,0,0,0,3
Mata Atlântica,Agua,1,412,SUL (NBS - ILHEUS),5,29506,RTID (1),BA,Graciosa - BA,Taperoá,2931202,525,-13.48299051,-39.08902437,2910,VALENCA,29027,2,3,1,0,0,0,0,4
Mata Atlântica,Agua,1,409,RRAS7,1,35312,Titulado,SP,Nhunguará - SP,Iporanga,3521200,415,-24.59007394,-48.43612973,3520,VALE DO RIBEIRA,35121,1,0,1,0,0,0,0,0
Mata Atlântica,Agua/Estiagem,1,275,JEQUITINHONHA,8,31536,RTID (1),MG,Ausente - MG,Serro,3167103,289,-18.50119248,-43.49129435,3104,SERRO,31095,4,4,2,2,0,0,0,4
Mata Atlântica,Agua,1,252,METROPOLITANA,6,32149,Decreto,ES,Retiro - ES,Santa Leopoldina,3204500,275,-20.15511425,-40.458264,3207,METROPOLITANA,32002,2,4,2,1,0,0,0,3
Mata Atlântica,Agua/Estiagem,1,153,1ª MACRORREGIAO DE SAUDE,3,27282,Portaria,AL,Abobreiras - AL,Teotônio Vilela,2709152,162,-9.991297111,-36.37493004,2704,5ª REGIAO DE SAUDE,27005,2,1,1,1,0,0,0,1
Mata Atlântica,Agua,1,153,RRAS17,6,35155,Decreto,SP,Caçandoca - SP,Ubatuba,3555406,176,-23.56227122,-45.22452988,3526,LITORAL NORTE,35173,4,2,5,0,0,0,0,1
Mata Atlântica,Agua/Estiagem,1,79,METROPOLITANA,5,32151,Decreto,ES,São Pedro - ES,Ibiraçu,3202504,80,-19.85907532,-40.47940598,3207,METROPOLITANA,32002,2,3,1,1,0,0,0,3
Mata Atlântica,Agua,1,62,METROPOLITANA,13,43482,RTID (1),RS,Paredão - RS,Taquara,4321204,73,-29.77552853,-50.86534097,4313,REGIAO 06 - VALE DO PARANHANA E COSTA SERRA,43006,8,5,7,2,0,0,0,4
Mata Atlântica,Agua,1,57,MACRORREGIONAL LESTE,2,41456,RTID (1),PR,Serra do Apon - PR,Castro,4104907,94,-24.68431892,-49.59003144,4107,3ª RS PONTA GROSSA,41003,1,1,1,0,0,0,0,1
Mata Atlântica,Estiagem/Incêndio,1,32,CONE SUL,2,50300,Portaria,MS,Picadinha - MS,Itaporã,5004502,63,-22.15675556,-54.94565716,5011,CENTRO SUL,50012,2,0,0,1,1,0,0,0
Mata Atlântica,Estiagem,1,3,MACRORREGIAO I,3,33133,Portaria,RJ,São Benedito - RJ,São Fidélis,3304805,25,-21.71478536,-41.80010919,3312,NORTE,33008,1,2,0,1,0,0,0,2
Mata Atlântica,Agua,2,347,MACRORREGIAO I,4,33495,RTID (1),RJ,Boa Esperança - RJ,Areal,3300225,404,-22.22827235,-43.16265182,3312,CENTRO-SUL,33003,2,2,2,0,0,0,0,2
Mata Atlântica,Agua,2,314,LESTE - (NRS - SALVADOR),5,29176,Portaria,BA,Caonge/ Dendê / Engenho da Ponte e outras - BA,Cachoeira,2904902,314,-12.64973689,-38.85588503,2915,CRUZ DAS ALMAS,29005,2,3,2,0,0,0,0,3
Mata Atlântica,Agua,2,264,MACRO UNICA,5,28507,RTID (1),SE,Bela Vista/Quebra Chifre - SE,Riachuelo,2805901,279,-10.74110699,-37.27164461,2801,ARACAJU,28001,1,4,1,0,0,0,0,4
Mata Atlântica,Agua,2,245,SUL (NBS - ILHEUS),7,29261,RTID (1),BA,Fojo - BA,Itacaré,2914901,263,-14.34244769,-39.10786487,2910,ILHEUS,29009,4,3,3,0,0,0,0,4
Mata Atlântica,Estiagem,2,212,CENTRAL NORTE,4,32152,RTID (1),ES,Linharinho - ES,Conceição da Barra,3201605,295,-18.54071335,-39.79710219,3209,NORTE,32003,1,3,0,1,0,0,0,3
Mata Atlântica,Agua,2,148,RRAS7,2,35314,RTID (1),SP,Poça - SP,Jacupiranga,3524600,289,-24.60218819,-48.12770009,3520,VALE DO RIBEIRA,35121,1,1,1,0,0,0,0,1
Mata Atlântica,Agua,2,133,RRAS17,6,35420,Estudo técnico,SP,Sertão de Itamambuca - SP,Ubatuba,3555406,353,-23.395525,-45.03116732,3526,LITORAL NORTE,35173,4,2,5,0,0,0,0,1
Pampa,Agua/Estiagem,1,444,CENTRO-OESTE,8,43247,Decreto,RS,São Miguel - RS,Restinga Sêca,4315503,457,-29.74250279,-53.36300898,4314,REGIAO 01,43001,6,2,3,3,0,0,0,2
Pampa,Estiagem,1,239,METROPOLITANA,6,43163,Decreto,RS,Casca - RS,Mostardas,4312500,239,-30.5993013,-50.51180069,4313,REGIAO 05,43005,4,2,1,3,0,0,0,2
Pampa,Agua,1,94,VALES,19,43245,Decreto,RS,Cambará - RS,Cachoeira do Sul,4303004,147,-30.32145203,-53.22915561,4308,REGIAO 27,43027,15,4,12,3,0,0,0,4
Pampa,Agua,1,59,SUL,16,43255,Portaria,RS,Palmas - RS,Bagé,4301602,73,-30.92392992,-53.73274265,4309,REGIAO 22,43022,11,5,8,3,0,0,0,5
Pampa,Agua,1,50,NORTE,8,43256,Portaria,RS,Mormaça - RS,Sertão,4320503,71,-27.97600664,-52.30656857,4311,REGIAO 17 - PLANALTO,43017,7,1,4,3,0,0,0,1
Pampa,Agua,1,42,CENTRO-OESTE,13,43359,RTID (1),RS,Arnesto Penna - RS,Santa Maria,4316907,43,-29.74372633,-53.53542584,4314,REGIAO 01,43001,6,7,5,3,0,0,0,5
Pampa,Agua/Estiagem,2,141,CENTRO-OESTE,8,43248,Titulado,RS,Rincão dos Martimianos - RS,Restinga Sêca,4315503,141,-29.78094837,-53.37611205,4314,REGIAO 01,43001,6,2,3,3,0,0,0,2
Pampa,Agua,2,119,METROPOLITANA,13,43249,Decreto,RS,Manoel Barbosa - RS,Gravataí,4309209,140,-29.94757122,-50.88344165,4313,REGIAO 10,43010,6,7,6,1,0,0,0,6
Pampa,Agua,2,37,NORTE,8,43258,Portaria,RS,Arvinha - RS,Sertão,4320503,73,-28.05662137,-52.38791539,4311,REGIAO 17 - PLANALTO,43017,7,1,4,3,0,0,0,1
Pampa,Agua,2,20,VALES,12,43351,RTID (1),RS,Picada das Vassouras - RS,Caçapava do Sul,4302808,20,-30.29956371,-53.42083979,4308,REGIAO 27,43027,10,2,6,4,0,0,0,2
